chromosome,window_start,window_end,Azucena_CG,IR64_CG,Azucena_CHG,IR64_CHG,Azucena_CHH,IR64_CHH,recombination_rate
chr3,3900001,4000000,1147,1176,210,266,123,175,0.473926451
chr3,4000001,4100000,670,889,125,186,102,100,1.184816127
chr3,4100001,4200000,771,853,193,228,50,125,0.950120422
chr3,4200001,4300000,859,680,110,97,82,127,0.473926451
chr3,4300001,4400000,825,700,238,137,147,186,0.236963225
chr3,4400001,4500000,911,925,237,213,59,116,0
chr3,4500001,4600000,914,921,88,271,90,127,0
chr3,4600001,4700000,489,784,130,162,102,207,0.947852901
chr3,4700001,4800000,927,1105,187,404,92,55,0
chr3,4800001,4900000,860,766,86,105,100,103,1.897973324
chr3,4900001,5000000,951,1101,410,239,79,140,0.708654242
chr3,5000001,5100000,923,1209,317,483,49,42,0.473926451
chr3,5100001,5200000,746,859,105,155,48,61,0.473926451
chr3,5200001,5300000,661,1185,104,391,80,91,0.710889676
chr3,5300001,5400000,880,1107,170,264,54,66,0.473926451
chr3,5400001,5500000,1011,944,199,207,83,91,0.710889676
chr3,5500001,5600000,699,919,64,184,33,60,0.236963225
chr3,5600001,5700000,662,701,93,129,54,99,0.710889676
chr3,5700001,5800000,1023,1199,167,258,88,117,0.473926451
chr3,5800001,5900000,868,929,142,117,74,40,0.236963225
chr3,5900001,6000000,1009,901,132,208,20,56,0.476193972
chr3,6000001,6100000,896,1070,105,97,25,39,0.947852901
chr3,6100001,6200000,837,696,176,203,18,22,1.18707285
chr3,6200001,6300000,922,1102,204,265,72,63,0
chr3,6300001,6400000,891,788,168,151,43,41,0
chr3,6400001,6500000,699,983,125,248,35,26,0.713146399
chr3,6500001,6600000,900,1207,232,296,114,70,0
chr3,6600001,6700000,1017,981,312,230,85,158,0.476183174
chr3,6700001,6800000,1331,1113,241,239,43,55,0
chr3,6800001,6900000,771,647,136,163,73,89,2.378735355
chr3,6900001,7000000,756,729,92,97,79,107,0.943382033
chr3,7000001,7100000,836,1029,177,275,114,159,0.471691016
chr3,7100001,7200000,798,823,174,200,67,119,0.471691016
chr3,7200001,7300000,688,1003,279,298,41,77,0
chr3,7300001,7400000,977,1290,251,402,54,68,0
chr3,7400001,7500000,1206,1163,302,420,60,62,0
chr3,7500001,7600000,942,1019,105,241,42,108,0.471691016
chr3,7600001,7700000,876,959,294,374,87,96,0
chr3,7700001,7800000,804,990,278,245,72,78,0
chr3,7800001,7900000,1083,721,293,100,87,82,0.709782604
chr3,7900001,8000000,597,929,264,511,18,41,0.471691016
chr3,8000001,8100000,954,1050,336,263,49,74,0.471691016
chr3,8100001,8200000,999,1376,176,574,36,0,0.235845508
chr3,8200001,8300000,954,1312,176,311,30,55,0.945628112
chr3,8300001,8400000,839,909,132,207,101,79,0.235845508
chr3,8400001,8500000,894,1102,220,187,33,124,0
chr3,8500001,8600000,844,1579,173,471,45,6,0
chr3,8600001,8700000,907,1164,175,373,42,66,0.235845508
chr3,8700001,8800000,949,973,195,137,69,95,0
chr3,8800001,8900000,910,866,197,234,38,80,0.471691016
chr3,8900001,9000000,1049,1014,132,236,8,56,0
chr3,9000001,9100000,1059,1004,271,220,53,82,0.471691016
chr3,9100001,9200000,1034,1620,330,461,46,84,0
chr3,9200001,9300000,1241,1245,408,490,52,93,0
chr3,9300001,9400000,853,1453,222,489,84,8,0.235845508
chr3,9400001,9500000,847,1119,155,259,78,199,0.471691016
chr3,9500001,9600000,830,1067,202,302,147,90,1.179227541
chr3,9600001,9700000,1019,930,182,186,50,249,0
chr3,9700001,9800000,679,1071,119,274,90,124,0.235845508
chr3,9800001,9900000,913,643,297,65,69,143,0.709782604
chr3,9900001,10000000,955,868,218,174,101,134,0.235845508
chr3,10000001,10100000,963,906,237,230,84,75,0
chr3,10100001,10200000,1092,1243,186,273,54,110,0.235845508
chr3,10200001,10300000,952,1091,215,248,29,75,1.186008972
chr3,10300001,10400000,813,1136,153,241,70,69,0.471691016
chr3,10400001,10500000,869,681,83,154,54,123,0.950163464
chr3,10500001,10600000,751,885,135,112,37,79,0.471691016
chr3,10600001,10700000,865,772,212,140,53,72,1.650918558
chr3,10700001,10800000,479,832,112,231,21,71,0.471691016
chr3,10800001,10900000,826,698,204,161,155,65,0.235845508
chr3,10900001,11000000,836,837,217,212,74,207,0.707536525
chr3,11000001,11100000,1006,852,110,237,48,118,0.471691016
chr3,11100001,11200000,1436,928,439,109,25,39,0.471691016
chr3,11200001,11300000,1095,1420,209,379,39,39,0.473937096
chr3,11300001,11400000,1085,1384,238,307,42,76,0
chr3,11400001,11500000,1162,1354,357,312,57,36,0
chr3,11500001,11600000,1151,1569,397,472,49,46,0.471691016
chr3,11600001,11700000,1067,1302,270,364,45,121,0
chr3,11700001,11800000,1155,1399,364,313,90,61,0.235845508
chr3,11800001,11900000,842,1368,267,456,93,164,0.943382033
chr3,11900001,12000000,860,1003,239,268,105,89,1.417319129
chr3,12000001,12100000,856,937,228,263,98,142,0.943382033
chr3,12100001,12200000,891,802,236,127,88,178,0.235845508
chr3,12200001,12300000,1116,1256,331,430,26,89,0.235845508
chr3,12300001,12400000,1068,1061,227,293,61,77,0
chr3,12400001,12500000,786,949,536,411,76,112,0.235845508
chr3,12500001,12600000,1072,906,203,202,42,69,0
chr3,12600001,12700000,1040,1026,302,306,25,52,0.471691016
chr3,12700001,12800000,951,1225,122,344,67,41,0
chr3,12800001,12900000,830,950,204,147,72,71,0.707536525
chr3,12900001,13000000,1043,922,219,199,33,99,0.235845508
chr3,13000001,13100000,1091,1128,190,262,50,43,1.655410716
chr3,13100001,13200000,1166,1035,227,218,54,79,2.129347812
chr3,13200001,13300000,1249,1155,279,237,42,155,2.369728672
chr3,13300001,13400000,998,1226,160,190,91,59,1.891256225
chr3,13400001,13500000,1414,1035,403,183,62,107,0
chr3,13500001,13600000,1169,1414,318,462,1,48,0
chr3,13600001,13700000,873,1603,467,418,2,7,0
chr3,13700001,13800000,1165,1980,542,697,1,2,0
chr3,13800001,13900000,1394,1795,803,632,1,0,0
chr3,13900001,14000000,1323,1541,683,645,0,0,0
chr3,14000001,14100000,1298,1471,465,661,24,2,0
chr3,14100001,14200000,1046,1827,222,748,41,0,0.235845508
chr3,14200001,14300000,1392,1281,204,413,33,32,0.235845508
chr3,14300001,14400000,1056,1145,252,229,37,44,1.179227541
chr3,14400001,14500000,1422,1447,372,227,53,30,0.471691016
chr3,14500001,14600000,1318,1299,230,355,29,44,0
chr3,14600001,14700000,1306,1650,268,487,22,73,0
chr3,14700001,14800000,1057,1253,193,295,59,26,0.943382033
chr3,14800001,14900000,941,994,266,163,58,65,0.471691016
chr3,14900001,15000000,1023,1219,269,301,38,98,0
chr3,15000001,15100000,1077,1021,250,235,53,42,0.943382033
chr3,15100001,15200000,1198,1363,276,264,61,39,0.707536525
chr3,15200001,15300000,1155,1336,276,348,26,61,0.945628112
chr3,15300001,15400000,1546,1912,408,573,37,53,0.471691016
chr3,15400001,15500000,1008,1174,264,204,26,44,0.707536525
chr3,15500001,15600000,1519,1474,440,340,8,68,0.235845508
chr3,15600001,15700000,1508,1101,475,335,4,33,0.471691016
chr3,15700001,15800000,1406,1493,360,307,78,8,0
chr3,15800001,15900000,1327,1523,360,318,44,10,0.235845508
chr3,15900001,16000000,1162,1560,164,522,37,18,1.653164637
chr3,16000001,16100000,982,1571,256,475,78,49,0.235845508
chr3,16100001,16200000,1048,1168,287,179,30,92,0.235845508
chr3,16200001,16300000,1901,1110,732,303,6,69,1.179227541
chr3,16300001,16400000,1245,1258,557,364,13,58,1.179227541
chr3,16400001,16500000,1395,1566,345,348,39,21,1.181473621
chr3,16500001,16600000,1353,1986,468,708,20,5,0.235845508
chr3,16600001,16700000,1407,1818,539,557,36,39,0.473937096
chr3,16700001,16800000,1039,1294,312,236,45,50,0.945628112
chr3,16800001,16900000,1393,1781,368,602,44,37,0.235845508
chr3,16900001,17000000,1019,1299,341,362,56,93,0.707536525
chr3,17000001,17100000,1603,1409,605,482,7,55,0.707536525
chr3,17100001,17200000,1937,1758,818,512,11,102,0
chr3,17200001,17300000,1482,1431,523,457,9,101,0.471691016
chr3,17300001,17400000,1396,1779,466,614,63,31,0.943382033
chr3,17400001,17500000,1405,2103,482,676,85,17,1.1837197
chr3,17500001,17600000,1492,1494,647,482,33,81,0.471691016
chr3,17600001,17700000,1315,1634,440,459,39,93,0.235845508
chr3,17700001,17800000,1313,1752,514,692,69,25,0
chr3,17800001,17900000,1541,1843,449,556,37,39,0.235845508
chr3,17900001,18000000,1319,1567,540,578,46,95,0.471691016
chr3,18000001,18100000,1563,1732,671,414,17,64,0
chr3,18100001,18200000,1037,1910,249,580,9,82,0
chr3,18200001,18300000,1692,1711,497,644,26,51,0.235845508
chr3,18300001,18400000,1573,1275,488,438,6,19,0.471691016
chr3,18400001,18500000,1247,2017,405,461,38,20,0
chr3,18500001,18600000,1563,1875,408,451,20,13,0
chr3,18600001,18700000,1730,1367,604,426,21,20,0
chr3,18700001,18800000,1652,1835,682,464,6,39,0
chr3,18800001,18900000,1400,1406,358,376,11,48,0
chr3,18900001,19000000,1747,1683,681,449,24,15,0
chr3,19000001,19100000,2132,1867,849,621,2,13,0
chr3,19100001,19200000,1019,1650,378,555,22,25,0
chr3,19200001,19300000,1049,2618,475,851,34,2,0
chr3,19300001,19400000,1505,1966,564,571,24,58,0
chr3,19400001,19500000,1352,1862,416,579,24,82,0
chr3,19500001,19600000,1742,1858,741,792,1,71,0
chr3,19600001,19700000,1532,1835,814,493,1,17,0
chr3,19700001,19800000,1579,2284,925,1033,0,3,0
chr3,19800001,19900000,1699,2666,805,983,5,2,0
chr3,19900001,20000000,1772,2385,697,963,0,1,0
chr3,20000001,20100000,1904,2311,1014,982,4,1,0
chr3,20100001,20200000,2044,2778,917,1096,6,0,0
chr3,20200001,20300000,2062,2339,895,871,8,7,0
chr3,20300001,20400000,1758,2531,1148,1144,12,3,0
chr3,20400001,20500000,1554,2440,859,1058,6,0,0
chr3,20500001,20600000,1712,2204,1007,1104,2,4,0
chr3,20600001,20700000,1607,2384,788,882,1,0,0
chr3,20700001,20800000,1650,1834,902,805,0,3,0
chr3,20800001,20900000,1800,2038,849,797,7,4,0
chr3,20900001,21000000,2267,2435,730,359,4,0,0
chr3,21000001,21100000,2177,2130,200,174,0,0,0
chr3,21100001,21200000,2042,2538,169,897,0,9,0
chr3,21200001,21300000,2559,2539,152,1034,0,0,0
chr3,21300001,21400000,2317,2543,238,1237,0,10,0
chr3,21400001,21500000,1913,2372,853,873,1,6,0
chr3,21500001,21600000,1933,2375,870,781,0,2,0
chr3,21600001,21700000,2053,2303,1048,782,0,8,0
chr3,21700001,21800000,2230,1883,1072,603,3,4,0
chr3,21800001,21900000,1922,1740,667,658,4,22,0
chr3,21900001,22000000,1844,1542,870,368,9,69,0
chr3,22000001,22100000,1696,1654,841,470,9,38,0
chr3,22100001,22200000,1668,1918,764,808,31,9,0
chr3,22200001,22300000,1425,1916,486,569,21,8,0
chr3,22300001,22400000,1488,1832,489,380,14,13,0
chr3,22400001,22500000,1568,2157,758,748,8,8,0.473937096
chr3,22500001,22600000,1494,1882,683,629,1,4,0
chr3,22600001,22700000,1767,1540,666,283,14,36,0
chr3,22700001,22800000,1417,1573,547,539,3,70,0
chr3,22800001,22900000,1671,1564,735,560,5,15,0
chr3,22900001,23000000,1357,1694,373,556,36,41,0
chr3,23000001,23100000,1352,1546,547,393,48,27,0.235845508
chr3,23100001,23200000,1421,1782,512,448,32,28,0.235845508
chr3,23200001,23300000,1415,1381,404,253,21,30,0.945628112
chr3,23300001,23400000,1277,1344,435,402,14,7,0.471691016
chr3,23400001,23500000,1470,1811,336,707,27,4,0
chr3,23500001,23600000,1474,1433,351,685,1,5,0.945628112
chr3,23600001,23700000,1070,2057,256,560,47,11,0.471691016
chr3,23700001,23800000,2013,1769,703,534,3,14,0
chr3,23800001,23900000,1840,2184,934,706,13,16,0
chr3,23900001,24000000,1401,1261,507,320,4,73,0
chr3,24000001,24100000,1636,1448,566,392,10,83,0
chr3,24100001,24200000,1051,1341,323,368,65,44,0
chr3,24200001,24300000,1090,1593,440,503,75,55,0
chr3,24300001,24400000,1561,1458,439,454,36,46,0
chr3,24400001,24500000,1240,1428,510,432,52,29,0.235845508
chr3,24500001,24600000,1407,2104,562,736,37,21,0.471691016
chr3,24600001,24700000,1280,1398,470,427,31,1,0.471691016
chr3,24700001,24800000,1090,2200,254,958,15,8,0
chr3,24800001,24900000,1555,1818,420,746,16,16,0.471691016
chr3,24900001,25000000,1397,1622,377,489,38,7,0.235845508
chr3,25000001,25100000,1291,1546,500,473,7,29,0
chr3,25100001,25200000,2164,1261,1055,294,7,8,0
chr3,25200001,25300000,1461,2174,567,840,7,1,0.709782604
chr3,25300001,25400000,1360,1987,314,713,20,1,0.235845508
chr3,25400001,25500000,1311,1771,323,527,21,25,0.235845508
chr3,25500001,25600000,1174,1355,196,383,15,60,0.471691016
chr3,25600001,25700000,1673,1157,465,278,33,15,0
chr3,25700001,25800000,989,1344,205,345,43,10,0.707536525
chr3,25800001,25900000,1563,1732,374,551,51,28,0.471691016
chr3,25900001,26000000,1257,1275,346,232,14,44,0.235845508
chr3,26000001,26100000,1980,1585,929,224,8,67,0
chr3,26100001,26200000,1017,1490,290,386,26,43,0.235845508
chr3,26200001,26300000,1472,1404,522,400,30,22,0
chr3,26300001,26400000,1048,1398,219,383,7,43,0.235845508
chr3,26400001,26500000,1327,1382,289,589,38,27,0.235845508
chr3,26500001,26600000,1561,1335,499,307,26,33,0.709782604
chr3,26600001,26700000,913,1325,194,291,112,28,1.179227541
chr3,26700001,26800000,876,1408,188,314,32,45,0.471691016
chr3,26800001,26900000,1432,1038,454,175,58,89,0.943382033
chr3,26900001,27000000,1240,1012,211,175,33,85,0.235845508
chr3,27000001,27100000,894,1288,296,290,106,121,0.943382033
chr3,27100001,27200000,1221,1235,234,300,72,101,3.576478267
chr3,27200001,27300000,1061,862,160,133,25,121,2.124855654
chr3,27300001,27400000,1902,1585,683,387,17,21,0
chr3,27400001,27500000,1471,1992,282,613,15,12,0.707536525
chr3,27500001,27600000,927,2013,131,649,106,4,0.471691016
chr3,27600001,27700000,1905,1136,677,147,31,77,0.707536525
chr3,27700001,27800000,1506,1464,463,363,29,128,0.235845508
chr3,27800001,27900000,1258,1951,327,611,83,21,1.653164637
chr3,27900001,28000000,1184,1524,270,406,39,74,1.181473621
chr3,28000001,28100000,1110,1459,383,385,15,88,0.235845508
chr3,28100001,28200000,1123,1237,352,243,61,36,0.235845508
chr3,28200001,28300000,1181,1247,391,485,53,25,0
chr3,28300001,28400000,1246,1479,387,491,59,71,0.235845508
chr3,28400001,28500000,943,1396,330,309,22,81,0.235845508
chr3,28500001,28600000,960,1318,167,452,48,66,0.707536525
chr3,28600001,28700000,1092,1070,342,183,32,33,0.471691016
chr3,28700001,28800000,1445,1186,270,283,60,61,0.943382033
chr3,28800001,28900000,1411,1298,361,275,32,83,0
chr3,28900001,29000000,1133,1199,224,275,2,6,0.235845508
chr3,29000001,29100000,1108,1586,164,352,43,40,0.235845508
chr3,29100001,29200000,1240,1022,321,194,68,36,1.179227541
chr3,29200001,29300000,1095,1112,110,190,15,43,0.235845508
chr3,29300001,29400000,1078,1210,134,279,89,52,0.235845508
chr3,29400001,29500000,936,1015,106,123,50,117,0.707536525
chr3,29500001,29600000,1109,904,271,287,30,66,0.709782604
chr3,29600001,29700000,986,1653,188,460,50,35,0.471691016
chr3,29700001,29800000,1207,888,248,177,23,34,0.471691016
chr3,29800001,29900000,1128,969,309,215,26,62,0.235845508
chr3,29900001,30000000,1402,1310,502,295,21,39,0
chr3,30000001,30100000,827,1139,244,218,91,41,0.235845508
chr3,30100001,30200000,1062,1845,291,680,61,2,0
chr3,30200001,30300000,926,1225,172,321,65,84,0.235845508
chr3,30300001,30400000,748,774,287,109,80,120,0.707536525
chr3,30400001,30500000,960,1310,114,375,32,30,0.707536525
chr3,30500001,30600000,971,873,153,213,86,117,0.707536525
chr3,30600001,30700000,1151,842,226,245,57,68,0
chr3,30700001,30800000,1237,871,147,143,53,78,0.473937096
chr3,30800001,30900000,1040,1073,119,237,109,94,0.943382033
chr3,30900001,31000000,1125,1219,397,160,64,53,0.707536525
chr3,31000001,31100000,1059,922,234,142,90,212,0.709782604
chr3,31100001,31200000,962,1230,179,390,39,62,0
chr3,31200001,31300000,943,1037,82,206,31,100,0.945628112
chr3,31300001,31400000,769,1078,147,223,50,105,0.235845508
chr3,31400001,31500000,793,949,87,247,168,78,1.650918558
chr3,31500001,31600000,689,664,148,88,64,34,0.235845508
chr3,31600001,31700000,857,764,297,138,73,94,0.471691016
chr3,31700001,31800000,997,1191,287,360,83,193,0.235845508
chr3,31800001,31900000,907,789,177,178,110,179,0.709782604
chr3,31900001,32000000,1080,1068,371,264,52,52,0.235845508
chr3,32000001,32100000,677,1089,121,329,77,87,1.415073049
chr3,32100001,32200000,1271,873,360,276,20,116,0
chr3,32200001,32300000,990,1219,97,299,85,137,0
chr3,32300001,32400000,912,892,309,248,33,66,0.709782604
chr3,32400001,32500000,710,1224,176,538,82,38,1.886764066
chr3,32500001,32600000,1118,1784,192,501,47,35,0.707536525
chr3,32600001,32700000,764,1222,108,397,32,120,0.471691016
chr3,32700001,32800000,840,952,109,154,75,43,0.471691016
chr3,32800001,32900000,924,980,137,271,92,146,0.235845508
chr3,32900001,33000000,1136,988,272,268,28,77,0.235845508
chr3,33000001,33100000,979,1143,214,196,31,80,0
chr3,33100001,33200000,1059,921,507,129,14,35,0
chr3,33200001,33300000,946,857,93,164,9,39,0
chr3,33300001,33400000,976,1167,229,443,72,104,0
chr3,33400001,33500000,780,1181,56,355,138,74,0.709782604
chr3,33500001,33600000,721,1073,83,219,128,54,0
chr3,33600001,33700000,607,1096,119,155,64,16,0.943382033
chr3,33700001,33800000,857,1120,133,314,66,246,0
chr3,33800001,33900000,852,711,238,133,45,132,0.471691016
chr3,33900001,34000000,833,835,184,118,112,107,0.235845508
chr3,34000001,34100000,999,820,234,165,78,60,0
chr3,34100001,34200000,873,778,275,115,50,57,0.472808734
chr3,34200001,34300000,970,907,289,267,42,113,0.950120422
chr3,34300001,34400000,814,855,147,224,73,144,0.235845508
chr3,34400001,34500000,887,914,237,269,79,103,1.419565208
chr3,34500001,34600000,1133,862,279,172,37,115,1.415073049
chr3,34600001,34700000,987,1023,198,288,61,47,0.943382033
chr3,34700001,34800000,1096,1594,252,492,96,46,0.235845508
chr3,34800001,34900000,682,1016,179,261,63,101,0.235845508
chr3,34900001,35000000,993,1231,281,273,82,34,0.473937096
chr3,35000001,35100000,951,903,187,200,80,43,1.417319129
chr3,35100001,35200000,816,954,91,153,148,102,1.895791576
chr3,35200001,35300000,923,1038,266,329,66,69,0.235845508
chr3,35300001,35400000,948,1228,149,272,43,86,0.943382033
chr3,35400001,35500000,945,1181,133,306,88,74,0.709782604
chr3,35500001,35600000,807,621,74,70,43,172,0
chr3,35600001,35700000,1086,1049,64,264,38,70,0
chr3,35700001,35800000,980,919,234,339,12,84,0.709782604
chr3,35800001,35900000,701,859,103,136,65,77,0.707536525
chr3,35900001,36000000,957,872,128,82,47,78,0.709782604
chr3,36000001,36100000,1225,836,111,50,26,60,1.889010145
chr3,36100001,36200000,1444,1264,480,216,41,28,0
chr3,36200001,36300000,788,619,144,116,80,89,1.179227541
chr3,36300001,36400000,732,910,139,145,79,94,1.181473621
chr3,36400001,36500000,948,942,246,96,143,69,0
chr3,36500001,36600000,677,1383,46,447,78,92,0.943382033
chr3,36600001,36700000,909,985,90,189,41,121,0
chr3,36700001,36800000,681,1024,86,325,89,77,0
chr3,36800001,36900000,913,1057,363,301,90,198,0.943382033
chr3,36900001,37000000,794,601,175,67,74,114,0.709782604
chr3,37000001,37100000,898,672,72,107,46,60,0.473937096
chr3,37100001,37200000,805,732,146,106,64,122,1.1837197
chr3,37200001,37300000,710,984,81,363,64,110,0.707536525
chr3,37300001,37400000,902,963,224,258,139,123,0.235845508
chr3,37400001,37500000,884,740,247,58,37,50,0.707536525
chr3,37500001,37600000,856,832,136,199,57,105,0.235845508
chr3,37600001,37700000,1007,847,251,186,16,77,0.473937096
chr3,37700001,37800000,610,1155,46,315,74,175,0.473926451
chr3,37800001,37900000,687,769,48,146,42,36,1.419565208
chr3,37900001,38000000,821,966,106,190,89,70,2.859783396
chr3,38000001,38100000,1408,1087,359,255,48,25,0.235845508
chr3,38100001,38200000,474,614,122,70,35,76,0.471691016
chr3,38200001,38300000,829,759,176,70,78,45,0.714317955
chr3,38300001,38400000,1333,756,174,114,8,127,0
chr3,38400001,38500000,463,1549,128,672,2,50,0
chr3,38500001,38600000,0,1092,0,230,0,98,0
chr3,38600001,38700000,0,1084,0,286,0,66,0
chr3,38700001,38800000,0,1691,0,288,0,27,0
chr4,1,100000,1884,2299,752,783,10,0,0
chr4,100001,200000,1725,2065,648,698,53,63,0
chr4,200001,300000,979,1617,385,401,29,71,0.235845508
chr4,300001,400000,1534,1129,411,201,47,77,1.180345258
chr4,400001,500000,765,1064,209,328,59,62,1.180345258
chr4,500001,600000,1093,1450,296,360,3,59,0.235845508
chr4,600001,700000,1272,1579,273,359,65,59,1.179227541
chr4,700001,800000,1726,1959,654,538,20,38,0.707536525
chr4,800001,900000,1859,2049,905,1032,8,4,0
chr4,900001,1000000,1338,1348,632,402,0,33,0
chr4,1000001,1100000,1028,1149,293,211,53,1,0
chr4,1100001,1200000,1202,1214,273,243,37,27,0
chr4,1200001,1300000,1205,1292,422,390,27,20,0.235845508
chr4,1300001,1400000,1087,1817,285,586,10,55,0.471691016
chr4,1400001,1500000,1471,1318,319,136,10,14,0.707536525
chr4,1500001,1600000,1411,1734,274,459,18,17,0.235845508
chr4,1600001,1700000,1487,1322,487,235,22,1,2.124855654
chr4,1700001,1800000,1520,1805,561,391,16,12,0
chr4,1800001,1900000,1400,1568,576,501,3,30,0.707536525
chr4,1900001,2000000,1429,1704,473,556,5,13,0.235845508
chr4,2000001,2100000,1223,1371,399,439,7,2,0.235845508
chr4,2100001,2200000,1483,1675,430,600,45,1,1.650918558
chr4,2200001,2300000,1784,979,440,251,12,1,0
chr4,2300001,2400000,1226,1124,763,236,0,56,0
chr4,2400001,2500000,1544,2169,832,626,1,16,0
chr4,2500001,2600000,1916,1989,433,545,0,7,0
chr4,2600001,2700000,1757,2436,734,826,4,4,0
chr4,2700001,2800000,1910,1642,774,311,0,41,0
chr4,2800001,2900000,1523,2024,534,514,28,31,0.471691016
chr4,2900001,3000000,1700,1114,428,330,20,23,0.235845508
chr4,3000001,3100000,1702,2209,469,548,31,6,0.235845508
chr4,3100001,3200000,1674,2794,665,1036,14,0,0
chr4,3200001,3300000,1118,2210,470,920,0,0,0
chr4,3300001,3400000,1099,2430,619,851,1,0,0
chr4,3400001,3500000,944,2376,453,920,0,1,0
chr4,3500001,3600000,1121,2233,351,567,0,0,0
chr4,3600001,3700000,1220,1720,635,283,1,14,0
chr4,3700001,3800000,1292,1438,518,363,0,15,0
chr4,3800001,3900000,1568,1767,613,449,0,10,0
chr4,3900001,4000000,1535,1800,510,466,26,41,0
chr4,4000001,4100000,1488,1701,293,489,13,17,0.471691016
chr4,4100001,4200000,1238,1350,371,467,42,8,1.415073049
chr4,4200001,4300000,1503,1689,619,439,25,19,0.235845508
chr4,4300001,4400000,1240,833,379,97,17,0,0.235845508
chr4,4400001,4500000,1592,1747,473,415,16,28,0
chr4,4500001,4600000,1882,1684,916,507,5,26,0
chr4,4600001,4700000,1977,1291,622,230,0,26,0.235845508
chr4,4700001,4800000,1538,1991,405,614,37,2,1.187094293
chr4,4800001,4900000,1193,1928,273,466,32,24,0.950120422
chr4,4900001,5000000,1030,1390,273,387,8,24,0
chr4,5000001,5100000,1885,1830,725,402,4,12,0
chr4,5100001,5200000,1578,1995,443,607,6,5,0
chr4,5200001,5300000,1648,1475,379,369,12,1,0.473926451
chr4,5300001,5400000,1326,1824,390,526,18,0,0.946735184
chr4,5400001,5500000,1661,2471,649,868,41,17,0.236963225
chr4,5500001,5600000,1690,2050,424,579,1,8,0.236963225
chr4,5600001,5700000,1300,2460,464,741,0,3,0
chr4,5700001,5800000,1967,1649,909,271,2,41,0
chr4,5800001,5900000,1860,2467,534,820,8,20,0
chr4,5900001,6000000,2338,1823,710,649,0,40,0
chr4,6000001,6100000,1337,1454,253,297,43,0,0.236963225
chr4,6100001,6200000,1536,1209,686,475,12,18,0.236963225
chr4,6200001,6300000,1361,1400,548,250,34,18,0.473926451
chr4,6300001,6400000,1746,1760,951,355,1,1,0
chr4,6400001,6500000,1813,1729,590,526,5,21,0
chr4,6500001,6600000,1250,1728,176,594,16,1,0.236963225
chr4,6600001,6700000,1713,2128,529,837,0,6,0.471691016
chr4,6700001,6800000,1584,1437,599,467,14,18,0
chr4,6800001,6900000,1321,1533,387,530,2,1,0
chr4,6900001,7000000,1942,2457,899,920,17,0,0
chr4,7000001,7100000,2235,2273,1276,843,6,0,0.235845508
chr4,7100001,7200000,1191,1801,215,770,0,2,0
chr4,7200001,7300000,1522,1794,541,568,0,8,0
chr4,7300001,7400000,1484,2386,483,760,7,41,0
chr4,7400001,7500000,1679,2618,852,1123,1,24,0
chr4,7500001,7600000,1703,1878,806,605,2,16,0
chr4,7600001,7700000,1567,2039,516,720,5,11,0
chr4,7700001,7800000,1914,2109,652,820,33,34,0
chr4,7800001,7900000,1233,1371,597,691,37,2,0
chr4,7900001,8000000,1712,1647,604,563,1,33,0
chr4,8000001,8100000,1939,1795,875,826,27,2,0
chr4,8100001,8200000,2146,1238,946,366,0,0,0
chr4,8200001,8300000,2477,2053,1270,910,7,0,0
chr4,8300001,8400000,1823,2143,1040,978,4,14,0
chr4,8400001,8500000,1745,2257,731,1027,1,0,0
chr4,8500001,8600000,2116,1971,1298,815,2,1,0
chr4,8600001,8700000,1532,1887,698,630,19,16,0
chr4,8700001,8800000,3170,2195,446,1184,4,2,0
chr4,8800001,8900000,1695,1762,733,842,1,0,0
chr4,8900001,9000000,1820,1739,949,752,8,43,0
chr4,9000001,9100000,2114,2797,1075,511,0,0,0
chr4,9100001,9200000,1590,2090,662,611,0,2,0
chr4,9200001,9300000,1958,1466,753,549,8,0,0
chr4,9300001,9400000,2139,2345,1120,867,12,0,0
chr4,9400001,9500000,2573,2179,1131,922,0,0,0
chr4,9500001,9600000,2302,2343,930,910,0,0,0
chr4,9600001,9700000,1575,592,482,295,12,0,0
chr4,9700001,9800000,1706,861,709,387,0,0,0
chr4,9800001,9900000,1555,559,533,184,25,1,0
chr4,9900001,10000000,1391,591,476,188,10,0,0
chr4,10000001,10100000,1403,894,433,450,22,0,0
chr4,10100001,10200000,1738,1492,571,474,24,0,0
chr4,10200001,10300000,1833,2266,566,957,18,9,0
chr4,10300001,10400000,1446,1593,453,666,8,0,0
chr4,10400001,10500000,1685,2439,581,790,20,1,0
chr4,10500001,10600000,1968,2658,744,828,20,0,0
chr4,10600001,10700000,1518,1723,599,595,5,2,0
chr4,10700001,10800000,1759,1670,700,663,8,8,0
chr4,10800001,10900000,1378,2262,438,807,36,33,0
chr4,10900001,11000000,1821,1662,768,391,11,18,0
chr4,11000001,11100000,1589,1742,575,430,27,8,0.236963225
chr4,11100001,11200000,1601,1599,392,265,5,36,0
chr4,11200001,11300000,2410,2011,1150,533,1,18,0
chr4,11300001,11400000,1958,1875,651,658,1,14,0
chr4,11400001,11500000,1784,2107,533,755,5,11,0
chr4,11500001,11600000,2061,1484,653,395,5,20,0.235845508
chr4,11600001,11700000,1477,2467,348,1082,8,34,0
chr4,11700001,11800000,1743,1817,439,683,0,12,0.471691016
chr4,11800001,11900000,1488,2109,467,760,5,9,0.471691016
